date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:08	23024/23024	---M-Z	200	added ('OK')	application/javascript	etag:W/%2259f0-9dsji3IEhN+907ZvpuE0nvlQMcg%22	https://cdn.jsdelivr.net/jquery.validation/1.15.1/jquery.validate.min.js?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/cdn.jsdelivr.net/jquery.validation/1.15.1/jquery.validate.min5010.js	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:09	1615/1615	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c665753-64f%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/leadup/js/form-validation.js?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/leadup/js/form-validation5010.js	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:10	1094/1094	---MCZ	200	added ('OK')	text/xml	date:Thu,%2005%20Mar%202020%2017:05:09%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/xmlrpc.php?rsd	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/xmlrpc0db0.php	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:10	488967/488967	---MCZ	200	added ('OK')	application/json	date:Thu,%2005%20Mar%202020%2017:05:10%20GMT	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-json/	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-json/index.html	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:10	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b8-415%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/wlwmanifest.xml	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:11	3610/3610	---MCZ	200	added ('OK')	image/png	etag:W/%2257c529a6-e1a%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/favicon.png	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/uploads/sites/591/2016/08/favicon.png	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:11	2749/2749	---MCZ	200	added ('OK')	text/css	etag:W/%225a59adf0-abd%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-admin/css/color-picker.min.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-admin/css/color-picker.min5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:12	188/188	---MCZ	200	added ('OK')	text/css	etag:W/%225bd6ac79-bc%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/widget/static/widgets.min.css?ver=3.0.16	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/widget/static/widgets.min952b.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:12	639/639	---MCZ	200	added ('OK')	text/css	etag:W/%225bd6ac79-27f%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_gallery_display/static/trigger_buttons.min.css?ver=3.0.16	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_gallery_display/static/trigger_buttons.min952b.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:12	6043/6043	---MCZ	200	added ('OK')	text/css	etag:W/%225bd6ac79-179b%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/thumbnails/nextgen_basic_thumbnails.min.css?ver=3.0.16	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/nextgen_basic_gallery/static/thumbnails/nextgen_basic_thumbnails.min.1b952b	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
